"1","恶臭","通过释放臭臭的气味，在攻击的时候，有时会使对手畏缩。"
"2","降雨","出场时，会将天气变为下雨。"
"3","加速","每一回合速度会变快。"
"4","战斗盔甲","被坚硬的甲壳守护着，不会被对手的攻击击中要害。"
"5","结实","即使受到对手的招式攻击，也不会被一击打倒。一击必杀的招式也没有效果。"
"6","湿气","通过把周围都弄湿，使谁都无法使用自爆等爆炸类的招式。"
"7","柔软","因为身体柔软，不会变为麻痹状态。"
"8","沙隐","在沙暴的时候，闪避率会提高。"
"9","静电","身上带有静电，有时会让接触到的对手麻痹。"
"10","蓄电","受到电属性的招式攻击时，不会受到伤害，而是会回复。"
"11","储水","受到水属性的招式攻击时，不会受到伤害，而是会回复。"
"12","迟钝","因为感觉迟钝，不会变为着迷和被挑衅状态。"
"13","无关天气","任何天气的影响都会消失。"
"14","复眼","因为拥有复眼，招式的命中率会提高。"
"15","不眠","因为是不会睡觉的体质，所以不会变为睡眠状态。"
"16","变色","自己的属性会变为从对手处所受招式的属性。"
"17","免疫","因为体内拥有免疫能力，不会变为中毒状态。"
"18","引火","受到火属性的招式攻击时，吸收火焰，自己使出的火属性招式会变强。"
"19","鳞粉","被鳞粉守护着，不会受到招式的追加效果影响。"
"20","我行我素","因为我行我素，不会变为混乱状态。"
"21","吸盘","用吸盘牢牢贴在地面上，让替换宝可梦的招式和道具无效。"
"22","威吓","出场时威吓对手，让其退缩，降低对手的攻击。"
"23","踩影","踩住对手的影子使其无法逃走或替换。"
"24","粗糙皮肤","受到攻击时，用粗糙的皮肤弄伤接触到自己的对手。"
"25","神奇守护","不可思议的力量，只有效果绝佳的招式才能击中。"
"26","飘浮","从地面浮起，从而不会受到地面属性招式的攻击。"
"27","孢子","受到攻击时，有时会把接触到自己的对手变为中毒、麻痹或睡眠状态。"
"28","同步","将自己的中毒、麻痹或灼伤状态传染给对手。"
"29","恒净之躯","不会因为对手的招式或特性而被降低能力。"
"30","自然回复","回到同行队伍后，异常状态就会被治愈。"
"31","避雷针","将电属性的招式吸引到自己身上，不会受到伤害，而是会提高特攻。"
"32","天恩","托天恩的福，招式的追加效果容易出现。"
"33","悠游自如","下雨天气时，速度会提高。"
"34","叶绿素","晴朗天气时，速度会提高。"
"35","发光","通过让周围变亮，变得容易遇到野生的宝可梦。"
"36","复制","出场时，复制对手的特性，变为与之相同的特性。"
"37","大力士","物理攻击的威力会变为２倍。"
"38","毒刺","有时会让接触到自己的对手变为中毒状态。"
"39","精神力","通过锻炼精神，不会因对手的攻击而畏缩。"
"40","熔岩铠甲","将炽热的熔岩覆盖在身上，不会变为冰冻状态。"
"41","水幕","将水幕裹在身上，不会变为灼伤状态。"
"42","磁力","用磁力吸住钢属性的宝可梦，使其无法逃走。"
"43","隔音","通过屏蔽声音，不受到声音的招式的攻击。"
"44","雨盘","下雨天气时，会缓缓回复ＨＰ。"
"45","扬沙","出场时，会把天气变为沙暴。"
"46","压迫感","给予对手压迫感，大量减少其使用招式的ＰＰ。"
"47","厚脂肪","因为被厚厚的脂肪保护着，会让火属性和冰属性的招式伤害减半。"
"48","早起","即使变为睡眠状态，也能以２倍的速度提早醒来。"
"49","火焰之躯","有时会让接触到自己的对手变为灼伤状态。"
"50","逃跑","一定能从野生宝可梦那儿逃走。"
"51","锐利目光","多亏了锐利的目光，命中率不会被降低。"
"52","怪力钳","因为拥有以力量自豪的钳子，不会被对手降低攻击。"
"53","捡拾","有时会捡来对手用过的道具，冒险过程中也会捡到。"
"54","懒惰","如果使出招式，下一回合就会休息。"
