"dex_number","name","jp_name","en_name","form_name","height","weight","type_1","type_2","body","catch_rate","specie","ability_1","ability_2","ability_hidden","ev_hp","ev_attack","ev_defence","ev_special_attack","ev_special_defence","ev_speed","exp_yield","exp_yield_gen_5","exp_lv_100","egg_group_1","egg_group_2","egg_cycle","hp","attack","defence","special_attack","special_defence","speed"
1,"妙蛙种子","フシギダネ","Bulbasaur","","0.7","6.9","GRASS","POISON","QUADRUPLE_FOOTS_MONSTER","45","种子","茂盛","","叶绿素",0,0,0,1,0,0,"64","64",1059860,"MONSTER","GRASS","20",45,49,49,65,65,45,"1#妙蛙种子#"
2,"妙蛙草","フシギソウ","Ivysaur","","1.0","13.0","GRASS","POISON","QUADRUPLE_FOOTS_MONSTER","45","种子","茂盛","","叶绿素",0,0,0,1,1,0,"141","142",1059860,"MONSTER","GRASS","20",60,62,63,80,80,60,"2#妙蛙草#"
3,"妙蛙花","フシギバナ","Venusaur","妙蛙花","2.0","100.0","GRASS","POISON","QUADRUPLE_FOOTS_MONSTER","45","种子","茂盛","","叶绿素",0,0,0,2,1,0,"208","236",1059860,"MONSTER","GRASS","20",80,82,83,100,100,80,"3#妙蛙花#妙蛙花#"
3,"妙蛙花","フシギバナ","Venusaur","超级妙蛙花","2.4","155.5","GRASS","POISON","QUADRUPLE_FOOTS_MONSTER","45","种子","厚脂肪","","",0,0,0,2,1,0,"","281",1059860,"MONSTER","GRASS","20",80,100,123,122,120,80,"3#妙蛙花#超级妙蛙花#"
3,"妙蛙花","フシギバナ","Venusaur","超极巨化的样子","24.0~??.?","???.?","GRASS","POISON","QUADRUPLE_FOOTS_MONSTER","45","种子","茂盛","","叶绿素",0,0,0,2,1,0,"208","",1059860,"MONSTER","GRASS","20",80,82,83,100,100,80,"3#妙蛙花#超极巨化的样子#"
4,"小火龙","ヒトカゲ","Charmander","","0.6","8.5","FIRE","","DUAL_FOOTS_MONSTER","45","蜥蜴","猛火","","太阳之力",0,0,0,0,0,1,"65","62",1059860,"MONSTER","DRAGON","20",39,52,43,50,50,65,"4#小火龙#"
5,"火恐龙","リザード","Charmeleon","","1.1","19.0","FIRE","","DUAL_FOOTS_MONSTER","45","火焰","猛火","","太阳之力",0,0,0,1,0,1,"142","142",1059860,"MONSTER","DRAGON","20",58,64,58,65,65,80,"5#火恐龙#"
6,"喷火龙","リザードン","Charizard","喷火龙","1.7","90.5","FIRE","FLYING","DUAL_FOOTS_MONSTER","45","火焰","猛火","","太阳之力",0,0,0,3,0,0,"209","240",1059860,"MONSTER","DRAGON","20",78,84,78,85,85,100,"6#喷火龙#喷火龙#"
6,"喷火龙","リザードン","Charizard","超级喷火龙Ｘ","1.7","110.5","FIRE","DRAGON","DUAL_FOOTS_MONSTER","45","火焰","硬爪","","",0,0,0,3,0,0,"","285",1059860,"MONSTER","DRAGON","20",78,130,111,130,85,100,"6#喷火龙#超级喷火龙Ｘ#"
6,"喷火龙","リザードン","Charizard","超级喷火龙Ｙ","1.7","100.5","FIRE","FLYING","DUAL_FOOTS_MONSTER","45","火焰","日照","","",0,0,0,3,0,0,"","285",1059860,"MONSTER","DRAGON","20",78,104,78,159,115,100,"6#喷火龙#超级喷火龙Ｙ#"
